id,address,longitude,latitude,name,types,primary_type,national_number,website_uri,rating_count,open_hours,rating,international_number,price_level,price_range
ChIJT44nt2QddkgR1ZsX-UKmMsg,"124 City Rd, London EC1V 2NX, UK",-0.0886732,51.527238499999996,VibeMart LTD,"['convenience_store', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",convenience_store,,,,,,,,
ChIJO-qzc7gddkgREfrFyPe7Nk8,"71 Nile St, London N1 7RD, UK",-0.08793859999999999,51.5295001,Counter 71,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJ051aS7kddkgRVtm39Ve9yPI,"207 City Rd, London EC1V 1JT, UK",-0.09106919999999999,51.528250199999995,Commons at Old Street Works,"['coffee_shop', 'cafe', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",coffee_shop,,,,,,,,
ChIJ66Qb-aYcdkgRYyPsUppfmlU,"1 Westland Pl, London N1 7LP, UK",-0.0905889,51.528296499999996,Westland Coffee & Wine,"['coffee_shop', 'sandwich_shop', 'wine_bar', 'liquor_store', 'cafe', 'bar', 'food_store', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",coffee_shop,,,,,,,,
ChIJyTVJiI8HdkgR-yOm4omnQio,"UK CITY RESOURCES LTD, 20-22, Wenlock Rd, London N1 7GU, UK",-0.0935536,51.530648,Rico's Slushies,"['juice_shop', 'fast_food_restaurant', 'dessert_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",food,,,,,,,,
ChIJP6jGdKccdkgRgEn_Ql-xkXk,"220 City Rd, London EC1V 2PN, UK",-0.0925,51.5283333,Royal Star,"['pub', 'bar_and_grill', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",pub,,,,,,,,
ChIJ6ahtyaUcdkgRgP_TAohH1QM,"29 Corsham St, London N1 6DR, UK",-0.0868984,51.5276716,NEPA Coffee and Food,"['coffee_shop', 'sandwich_shop', 'breakfast_restaurant', 'cafe', 'bakery', 'food_store', 'wholesaler', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",coffee_shop,,,,,,,,
ChIJo7RVm6YcdkgRM0PBHWoYhqg,"42 Provost St, London N1 7SU, UK",-0.0883333,51.5288889,Coffee Junction,"['coffee_shop', 'sandwich_shop', 'breakfast_restaurant', 'cafe', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",coffee_shop,,,,,,,,
ChIJUxpbQT0ddkgRVIF07Eh92O8,"104-108 Curtain Rd, London EC2A 3AH, UK",-0.0801166,51.525428999999995,Simmons Bar | Shoreditch,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJOxbNxN4ddkgRbLLsJNJZqv0,"52 Scrutton St, London EC2A 4PH, UK",-0.0810554,51.5233658,Portobello Juice Express,"['meal_takeaway', 'vegan_restaurant', 'vegetarian_restaurant', 'acai_shop', 'brazilian_restaurant', 'health', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",meal_takeaway,,,,,,,,
ChIJJ9DmjrocdkgR-TgBZwwKdKc,"65 Rivington St, London EC2A 3QQ, UK",-0.07986879999999999,51.526290800000005,Callooh Callay,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJRxL62ywddkgRVOCT1wvnzIo,"350, 356 Old St, London EC1V 9NQ, UK",-0.08064879999999999,51.5267863,Old Street Records,"['event_venue', 'bar', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJEydavrocdkgRSPZlYOtszUc,"348 Old St, London EC1V 9NQ, UK",-0.0808696,51.526739299999996,Be At One - Shoreditch,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
